date,price,joules_per_coin,kwh_per_coin,Mining costs with C = 0.03 USD/kWh; PUE = 1.0,Mining costs with C = 0.05 USD/kWh; PUE = 1.1,Mining costs with C = 0.07 USD/kWh; PUE = 1.2,Price-cost price with C = 0.03 USD/kWh; PUE = 1.0,Price-cost price with C = 0.05 USD/kWh; PUE = 1.1,Price-cost price with C = 0.07 USD/kWh; PUE = 1.2
2018-10-31,6596.018098435,265599182816.48535,73777.55078235704,2213.326523470711,4057.7652930296376,6197.3142657179915,4382.6915749642885,2538.2528054053623,398.7038327170085
2018-09-30,7193.248733149,258119236285.5804,71699.78785710566,2150.99363571317,3943.488332140812,6022.782179996876,5042.25509743583,3249.760401008188,1170.466553152124
2018-08-31,7596.721802762,275751123147.2643,76597.53420757341,2297.9260262272023,4212.864381416538,6434.192873436166,5298.795776534798,3383.857421345462,1162.5289293258338
2018-07-31,6364.401841845,221786725560.93164,61607.42376692546,1848.2227130077636,3388.4083071809005,5175.023596421738,4516.179128837236,2975.993534664099,1189.3782454232614
2018-06-30,7525.473796775,204991264409.29044,56942.017891469564,1708.260536744087,3131.8109840308266,4783.129502883444,5817.213260030912,4393.662812744173,2742.344293891556
2018-05-31,9096.810021871,170018701424.1385,47227.41706226069,1416.8225118678206,2597.507938424338,3967.1030332298983,7679.98751000318,6499.302083446662,5129.706988641103
2018-04-30,6830.630577316,151320264670.71674,42033.40685297687,1261.002205589306,2311.837376913728,3530.8061756500574,5569.628371726694,4518.793200402272,3299.824401665943
2018-03-31,10929.765497461,141316959678.55026,39254.711021819516,1177.6413306545853,2159.009106200074,3297.3957258328396,9752.124166806414,8770.756391260926,7632.36977162816
2018-02-28,9171.249368766,118983642326.3764,33051.01175732678,991.5303527198033,1817.8056466529729,2776.2849876154496,8179.719016046198,7353.443722113028,6394.964381150551
2018-01-31,13577.188554957,103781574095.42712,28828.215026507536,864.846450795226,1585.5518264579146,2421.570062226633,12712.342104161773,11991.636728499085,11155.618492730366
2017-12-31,10967.664817444,79123324225.16927,21978.70117365813,659.3610352097438,1208.8285645511974,1846.210898587283,10308.303782234256,9758.836252892803,9121.453918856716
2017-11-30,6751.169850192,68771320161.47955,19103.144489299877,573.0943346789962,1050.6729469114935,1604.66413710119,6178.075515513004,5700.496903280507,5146.50571309081
2017-10-31,4361.139973296,66331881942.74575,18425.52276187382,552.7656828562147,1013.4037519030603,1547.743911997401,3808.374290439785,3347.7362213929396,2813.396061298599
2017-09-30,4879.76,70992967379.6402,19720.268716566723,591.6080614970017,1084.61477941117,1656.502572191605,4288.151938502999,3795.14522058883,3223.2574278083953
2017-08-31,2713.63,45681095358.856125,12689.193155237812,380.67579465713436,697.9056235380798,1065.8922250399762,2332.954205342866,2015.7243764619202,1647.737774960024
2017-07-31,2435.57,53791287576.88124,14942.024326911456,448.2607298073437,821.8113379801302,1255.1300434605623,1987.3092701926564,1613.75866201987,1180.4399565394378
2017-06-30,2401.8,50361014299.75372,13989.170638820478,419.67511916461433,769.4043851351264,1175.0903336609204,1982.1248808353857,1632.3956148648738,1226.7096663390798
2017-05-31,1422.5,33061534864.349182,9183.75968454144,275.5127905362432,505.10678264977923,771.4358135014809,1146.9872094637567,917.3932173502208,651.0641864985191
2017-04-30,1080.28,31535961523.50237,8759.989312083992,262.7996793625197,481.7994121646196,735.8391022150553,817.4803206374802,598.4805878353804,344.4408977849447
2017-03-31,1221.42,26710263095.670666,7419.517526575185,222.58552579725554,408.07346396163524,623.2394722323156,998.8344742027446,813.3465360383648,598.1805277676845
2017-02-28,989.114,30089815535.772747,8358.282093270207,250.7484627981062,459.70551512986145,702.0956958346975,738.3655372018939,529.4084848701386,287.01830416530254
2017-01-31,997.777,23364494157.25383,6490.137265903842,194.70411797711523,356.9575496247113,545.1715303359227,803.0728820228849,640.8194503752887,452.6054696640773
2016-12-31,756.528,25199116844.62178,6999.754679061606,209.99264037184818,384.98650734838844,587.979393041175,546.5353596281518,371.5414926516116,168.54860695882508
2016-11-30,729.594,18053923837.75739,5014.978843821497,150.44936531464492,275.8238364101824,421.2582228810058,579.1446346853552,453.7701635898176,308.33577711899426
2016-10-31,613.965,16555364204.630608,4598.712279064058,137.96136837192174,252.92917534852322,386.2918314413809,476.0036316280783,361.0358246514768,227.67316855861912
2016-09-30,572.28,15668472271.286158,4352.353408690599,130.57060226071798,239.37943747798298,365.59768633001033,441.709397739282,332.900562522017,206.68231366998964
2016-08-31,605.969,14386910976.897123,3996.3641602492007,119.89092480747601,219.80002881370606,335.69458946093283,486.078075192524,386.168971186294,270.2744105390672
2016-07-31,675.964,13663529736.023523,3795.424926673201,113.86274780019602,208.7483709670261,318.81569384054893,562.1012521998041,467.215629032974,357.1483061594511
2016-06-30,537.859,10095604861.64051,2804.334683789031,84.13004051367092,154.23840760839673,235.5641134382786,453.72895948632913,383.6205923916033,302.29488656172146
2016-05-31,451.683,15042515918.515396,4178.4766440320545,125.35429932096163,229.81621542176305,350.9920380986926,326.3287006790384,221.86678457823695,100.69096190130739
2016-04-30,417.822,14769621171.0137,4102.672547503806,123.08017642511416,225.64699011270935,344.6244939903197,294.74182357488587,192.17500988729066,73.1975060096803
2016-03-31,435.101,11847020646.692942,3290.8390685258173,98.72517205577452,180.99614876892,276.43048175616866,336.3758279442255,254.10485123108,158.67051824383134
2016-02-29,372.942,13239844850.549812,3677.7346807082813,110.33204042124844,202.27540743895548,308.92971317949565,262.60995957875156,170.66659256104452,64.01228682050436
2016-01-31,433.973,8390680036.45373,2330.7444545704802,69.9223336371144,128.19094500137643,195.78253418392035,364.05066636288564,305.7820549986236,238.19046581607967
2015-12-31,362.387,7544894482.206787,2095.804022835219,62.87412068505656,115.26922125593705,176.04753791815838,299.51287931494346,247.11777874406295,186.33946208184162
2015-11-30,325.732,6408384012.433115,1780.1066701203097,53.40320010360929,97.90586685661705,149.52896029010603,272.32879989639076,227.82613314338298,176.203039709894
2015-10-31,237.551,6060846192.202993,1683.5683867230537,50.50705160169161,92.59626126976796,141.41974448473653,187.04394839830837,144.954738730232,96.13125551526346
2015-09-30,228.046,5818941169.025168,1616.3725469514357,48.49117640854307,88.90049008232897,135.77529394392062,179.5548235914569,139.145509917671,92.27070605607938
2015-08-31,282.013,6186623425.307623,1718.5065070298951,51.555195210896855,94.51785788664425,144.3545465905112,230.45780478910314,187.4951421133557,137.65845340948877
2015-07-31,258.651,6636410741.719405,1843.4474282553904,55.30342284766171,101.38960855404648,154.8495839734528,203.34757715233832,157.26139144595354,103.8014160265472
2015-06-30,222.926,6168782173.827351,1713.5506038409308,51.40651811522792,94.2452832112512,143.9382507226382,171.51948188477206,128.68071678874878,78.98774927736179
2015-05-31,232.155,5812192996.909085,1614.4980546969682,48.434941640909045,88.79739300833326,135.61783659454534,183.72005835909096,143.35760699166673,96.53716340545466
2015-04-30,247.289,6706097389.148507,1862.8048303190299,55.88414490957089,102.45426566754666,156.47560574679852,191.4048550904291,144.8347343324533,90.81339425320147
2015-03-31,260.371,6466522526.915635,1796.2562574765652,53.88768772429695,98.79409416121109,150.88552562803147,206.48331227570304,161.5769058387889,109.48547437196851
2015-02-28,226.998,6170212047.107801,1713.9477908632782,51.418433725898346,94.26712849748033,143.9716144325154,175.57956627410164,132.73087150251968,83.0263855674846
2015-01-31,314.136,5377934205.315135,1493.8706125875376,44.816118377626125,82.16288369231458,125.48513145735318,269.3198816223739,231.97311630768544,188.65086854264683
2014-12-31,379.366,5518080038.536792,1532.8000107046644,45.98400032113993,84.30400058875655,128.7552008991918,333.38199967886004,295.06199941124345,250.61079910080818
2014-11-30,324.768,6430818777.376421,1786.338549271228,53.59015647813684,98.24862020991755,150.05243813878315,271.1778435218631,226.51937979008244,174.71556186121683
2014-10-31,383.615,6213413218.743336,1725.9481163175933,51.778443489527795,94.92714639746765,144.97964177067783,331.83655651047224,288.68785360253236,238.63535822932218
2014-09-30,475.725,5673071700.539653,1575.8532501499035,47.2755975044971,86.6719287582447,132.3716730125919,428.4494024955029,389.05307124175533,343.3533269874081
2014-08-31,594.908,4003704590.3483872,1112.140163985663,33.36420491956989,61.16770901921148,93.41977377479571,561.5437950804301,533.7402909807886,501.4882262252043
2014-07-31,640.806,3654233490.1434937,1015.0648583731927,30.45194575119578,55.828567210525605,85.26544810334819,610.3540542488042,584.9774327894744,555.5405518966519
2014-06-30,630.229,3603034270.82114,1000.8428530058721,30.025285590176164,55.04635691532298,84.07079965249326,600.2037144098239,575.182643084677,546.1582003475067
2014-05-31,457.76,2451440881.878671,680.9558005218531,20.42867401565559,37.45256902870192,57.20028724383567,437.3313259843444,420.30743097129806,400.55971275616434
2014-04-30,478.375,1898867347.3786905,527.4631520496363,15.823894561489087,29.01047336273,44.30690477216945,462.5511054385109,449.36452663727,434.06809522783055
