Date,ln(P_max),Data monthly average,Model ln(P_eff)
2013-10-20,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-21,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-22,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-23,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-24,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-25,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-26,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-27,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-28,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-29,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-30,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2013-10-31,-6.684611727667927,0.0006473918956756756,0.0006167401715502987
2014-01-01,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-02,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-03,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-04,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-05,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-06,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-07,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-08,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-09,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-10,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-11,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-12,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-13,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-14,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-15,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-16,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-17,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-18,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-19,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-20,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-21,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-22,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-23,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-24,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-25,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-26,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-27,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-28,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-29,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-30,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-01-31,-6.550780380034407,0.0006107861494271685,0.0007162124963726851
2014-04-01,-6.214608098422191,0.0007135876745928339,0.0006388106626512749
2014-04-02,-6.214608098422191,0.0007135876745928339,0.0006388106626512749
2014-04-03,-6.214608098422191,0.0007135876745928339,0.0006388106626512749
2014-04-04,-6.214608098422191,0.0007135876745928339,0.0006388106626512749
2014-04-05,-6.214608098422191,0.0007135876745928339,0.0006388106626512749
2014-04-06,-6.214608098422191,0.0007135876745928339,0.0006388106626512749
2014-04-07,-6.214608098422191,0.0007135876745928339,0.0006388106626512749
