date,avg_efficiency,max_efficiency,open_price,count
2018-08-11,0.0014382090333333335,0.01021,6178.816153253,0.0
2018-08-12,0.0014382090333333335,0.01021,6269.572355626,0.0
2018-08-13,0.0014382090333333335,0.01021,6342.49538075,0.0
2018-08-14,0.0014382090333333335,0.01021,6287.053220705,0.0
2018-08-15,0.0014382090333333335,0.01021,6217.842249039,0.0
2018-08-16,0.0084054054,0.01021,6302.073567465,2.0
2018-08-17,0.0084054054,0.01021,6339.30334607,0.0
2018-08-18,0.0084054054,0.01021,6597.212073282,0.0
2018-08-19,0.0084054054,0.01021,6416.237390702,0.0
2018-08-20,0.0084054054,0.01021,6504.064719069,0.0
2018-08-21,0.0084054054,0.01021,6284.246451559,0.0
2018-08-22,0.0084054054,0.01021,6481.300215756,0.0
2018-08-23,0.01015625,0.01021,6379.980149324,1.0
2018-08-24,0.01015625,0.01021,6534.230350612,0.0
2018-08-25,0.01015625,0.01021,6703.504529877,0.0
2018-08-26,0.01015625,0.01021,6740.966519331,0.0
2018-08-27,0.01015625,0.01021,6708.159869046,0.0
2018-08-28,0.0101930408,0.01021,6892.118819724,2.0
2018-08-29,0.0101930408,0.01021,7080.255896341,0.0
2018-08-30,0.0101930408,0.01021,7036.431587041,0.0
2018-08-31,0.0101930408,0.01021,6977.184896695,0.0
2018-09-01,0.00382907965,0.01021,7011.745044966,2.0
2018-09-02,0.00382907965,0.01021,7189.711798204,0.0
2018-09-03,0.00382907965,0.01021,7278.253608581,0.0
2018-09-04,0.00382907965,0.01021,7267.905331927,0.0
2018-09-05,0.00382907965,0.01021,7364.127452099,0.0
2018-09-06,0.00382907965,0.01021,6720.246795663,0.0
2018-09-07,0.00382907965,0.01021,6527.528801198,0.0
2018-09-08,0.00382907965,0.01021,6432.032384471,0.0
2018-09-09,0.00382907965,0.01021,6213.220555941,0.0
2018-09-10,0.00382907965,0.01021,6274.807969006,0.0
2018-09-11,0.00917,0.01021,6328.687635904,1.0
2018-09-12,0.00917,0.01021,6311.369729626,0.0
2018-09-13,0.00917,0.01021,6356.884591956,0.0
2018-09-14,0.010320768075,0.01021,6498.182769763,4.0
2018-09-15,0.010320768075,0.01021,6500.848561872,0.0
2018-09-16,0.010320768075,0.01021,6535.007313325,0.0
2018-09-17,0.010320768075,0.01021,6512.220342627,0.0
2018-09-18,0.010320768075,0.01021,6275.496064408,0.0
2018-09-19,0.0121212121,0.01021,6358.739054641,1.0
2018-09-20,0.0121212121,0.01021,6399.795216298,0.0
2018-09-21,0.0121212121,0.01021,6493.152931427,0.0
2018-09-22,0.0121212121,0.01021,6736.854332661,0.0
2018-09-23,0.0121212121,0.01021,6707.056771032,0.0
2018-09-24,0.0121212121,0.01021,6709.093372549,0.0
2018-09-25,0.0121212121,0.01021,6588.874653099,0.0
2018-09-26,0.0121212121,0.01021,6445.346329714,0.0
2018-09-27,0.0121212121,0.01021,6472.98947654,0.0
2018-09-28,0.0121212121,0.01021,6680.315861169,0.0
2018-09-29,0.00917,0.01021,6639.133514007,1.0
2018-09-30,0.00917,0.01021,6594.927830488,0.0
2018-10-01,0.00917,0.01021,6624.023395287,0.0
2018-10-02,0.00917,0.01021,6596.425430306,0.0
2018-10-03,0.00917,0.01021,6539.365526536,0.0
2018-10-04,0.00917,0.01021,6502.28194056,0.0
2018-10-05,0.00917,0.01021,6577.590428121,0.0
2018-10-06,0.00917,0.01021,6628.529624888,0.0
2018-10-07,0.00917,0.01021,6591.961723594,0.0
2018-10-08,0.0004,0.01021,6602.290457561,1.0
2018-10-09,0.0004,0.01021,6656.124595325,0.0
2018-10-10,0.0004,0.01021,6646.18252197,0.0
2018-10-11,0.0004,0.01021,6597.07497291,0.0
2018-10-12,0.0004,0.01021,6245.131457439,0.0
2018-10-13,0.0004,0.01021,6291.160228165,0.0
2018-10-14,0.0004,0.01021,6322.634877764,0.0
