date,hardware_name,TH/J,max_efficiency,year
2011-06-25 00:05:44,6950,1.9399e-06,3.78e-06,2011
2011-06-25 00:05:44,6990,1.9056e-06,3.78e-06,2011
2011-06-25 02:56:37,5870,1.906e-06,3.78e-06,2011
2011-06-25 03:30:46,5850,1.8195e-06,3.78e-06,2011
2011-06-25 03:30:46,6990,1.9056e-06,3.78e-06,2011
2011-06-25 04:53:37,6970,1.8507e-06,3.78e-06,2011
2011-06-25 07:12:28,6950,1.9399e-06,3.78e-06,2011
2011-06-25 09:11:00,5970,2.0053e-06,3.78e-06,2011
2011-06-25 12:20:11,5870,1.906e-06,3.78e-06,2011
2011-06-25 12:20:11,6950,1.9399e-06,3.78e-06,2011
2011-06-25 22:24:26,6950,1.9399e-06,3.78e-06,2011
2011-06-25 23:12:55,5870,1.906e-06,3.78e-06,2011
2011-06-25 23:12:55,5830,1.5452e-06,3.78e-06,2011
2011-06-26 00:28:55,5970,2.0053e-06,3.78e-06,2011
2011-06-26 00:28:55,5850,1.8195e-06,3.78e-06,2011
2011-06-26 00:28:55,5870,1.906e-06,3.78e-06,2011
2011-06-26 00:28:55,5770,1.9401e-06,3.78e-06,2011
2011-06-26 02:21:16,5850,1.8195e-06,3.78e-06,2011
2011-06-26 02:21:16,5770,1.9401e-06,3.78e-06,2011
2011-06-26 12:49:11,5970,2.0053e-06,3.78e-06,2011
2011-06-26 15:24:17,6990,1.9056e-06,3.78e-06,2011
2011-06-27 03:56:16,5850,1.8195e-06,3.78e-06,2011
2011-06-27 03:56:16,5770,1.9401e-06,3.78e-06,2011
2011-06-27 05:21:33,6870,1.7264e-06,3.78e-06,2011
2011-06-27 05:21:33,5970,2.0053e-06,3.78e-06,2011
2011-06-27 05:21:33,5850,1.8195e-06,3.78e-06,2011
2011-06-27 05:21:33,5830,1.5452e-06,3.78e-06,2011
2011-06-27 05:21:33,4650,6.53e-07,3.78e-06,2011
2011-06-27 05:21:33,5770,1.9401e-06,3.78e-06,2011
2011-06-27 05:21:33,5850,1.8195e-06,3.78e-06,2011
2011-06-27 05:21:33,6990,1.9056e-06,3.78e-06,2011
2011-06-27 07:53:10,6970,1.8507e-06,3.78e-06,2011
2011-06-27 08:08:08,5850,1.8195e-06,3.78e-06,2011
2011-06-27 19:19:49,5970,2.0053e-06,3.78e-06,2011
2011-06-27 19:19:49,5850,1.8195e-06,3.78e-06,2011
2011-06-28 00:46:03,5830,1.5452e-06,3.78e-06,2011
2011-06-28 09:27:27,5830,1.5452e-06,3.78e-06,2011
2011-06-28 20:15:02,5850,1.8195e-06,3.78e-06,2011
2011-06-28 20:15:02,5870,1.906e-06,3.78e-06,2011
2011-06-29 03:22:38,6990,1.9056e-06,3.78e-06,2011
2011-06-29 03:22:38,6950,1.9399e-06,3.78e-06,2011
2011-06-29 03:22:38,5770,1.9401e-06,3.78e-06,2011
2011-06-29 03:22:38,6870,1.7264e-06,3.78e-06,2011
2011-06-29 21:22:57,5830,1.5452e-06,3.78e-06,2011
2011-06-30 01:58:23,5870,1.906e-06,3.78e-06,2011
2011-06-30 13:25:13,5870,1.906e-06,3.78e-06,2011
2011-07-01 01:58:35,5830,1.5452e-06,3.78e-06,2011
2011-07-01 03:05:46,5850,1.8195e-06,3.78e-06,2011
2011-07-01 03:05:46,6850,1.3996e-06,3.78e-06,2011
2011-07-01 06:49:46,5830,1.5452e-06,3.78e-06,2011
2011-07-02 03:27:44,5850,1.8195e-06,3.78e-06,2011
2011-07-02 05:01:19,6990,1.9056e-06,3.78e-06,2011
2011-07-02 05:01:19,6990,1.9056e-06,3.78e-06,2011
2011-07-02 05:01:19,5850,1.8195e-06,3.78e-06,2011
2011-07-02 20:35:46,5850,1.8195e-06,3.78e-06,2011
2011-07-02 23:35:36,5830,1.5452e-06,3.78e-06,2011
2011-07-03 14:21:25,5830,1.5452e-06,3.78e-06,2011
2011-07-03 14:21:25,5850,1.8195e-06,3.78e-06,2011
2011-07-03 20:02:46,5770,1.9401e-06,3.78e-06,2011
2011-07-03 20:02:46,6870,1.7264e-06,3.78e-06,2011
2011-07-03 20:02:46,5830,1.5452e-06,3.78e-06,2011
2011-07-03 22:49:46,5870,1.906e-06,3.78e-06,2011
2011-07-03 22:49:46,6950,1.9399e-06,3.78e-06,2011
2011-07-03 22:49:46,5850,1.8195e-06,3.78e-06,2011
2011-07-03 22:49:46,6870,1.7264e-06,3.78e-06,2011
2011-07-03 22:49:46,5770,1.9401e-06,3.78e-06,2011
2011-07-03 22:49:46,5830,1.5452e-06,3.78e-06,2011
2011-07-04 13:30:57,6990,1.9056e-06,3.78e-06,2011
2011-07-04 17:36:26,5850,1.8195e-06,3.78e-06,2011
2011-07-05 12:30:13,6870,1.7264e-06,3.78e-06,2011
2011-07-05 17:47:35,5830,1.5452e-06,3.78e-06,2011
2011-07-06 06:37:56,5830,1.5452e-06,3.78e-06,2011
2011-07-06 06:37:56,6870,1.7264e-06,3.78e-06,2011
2011-07-06 06:37:56,6950,1.9399e-06,3.78e-06,2011
2011-07-06 06:37:56,6870,1.7264e-06,3.78e-06,2011
2011-07-07 00:22:44,5850,1.8195e-06,3.78e-06,2011
2011-07-07 05:11:33,5830,1.5452e-06,3.78e-06,2011
2011-07-07 20:18:10,5830,1.5452e-06,3.78e-06,2011
2011-07-07 20:18:10,6870,1.7264e-06,3.78e-06,2011
2011-07-07 20:18:10,5770,1.9401e-06,3.78e-06,2011
2011-07-08 06:37:57,6970,1.8507e-06,3.78e-06,2011
2011-07-08 23:30:55,6950,1.9399e-06,3.78e-06,2011
2011-07-08 23:30:55,5850,1.8195e-06,3.78e-06,2011
2011-07-08 23:30:55,5870,1.906e-06,3.78e-06,2011
2011-07-09 13:33:54,5850,1.8195e-06,3.78e-06,2011
2011-07-09 18:04:57,5830,1.5452e-06,3.78e-06,2011
2011-07-09 22:08:57,6870,1.7264e-06,3.78e-06,2011
2011-07-09 22:08:57,6990,1.9056e-06,3.78e-06,2011
2011-07-10 03:14:30,6970,1.8507e-06,3.78e-06,2011
2011-07-10 03:14:30,5870,1.906e-06,3.78e-06,2011
2011-07-10 18:24:31,5870,1.906e-06,3.78e-06,2011
2011-07-11 20:11:08,4870,6.532e-07,3.78e-06,2011
2011-07-11 20:11:08,5830,1.5452e-06,3.78e-06,2011
2011-07-12 02:55:31,5830,1.5452e-06,3.78e-06,2011
2011-07-13 10:30:18,6870,1.7264e-06,3.78e-06,2011
2011-07-13 14:35:58,6870,1.7264e-06,3.78e-06,2011
2011-07-13 14:35:58,6990,1.9056e-06,3.78e-06,2011
2011-07-13 15:45:09,6970,1.8507e-06,3.78e-06,2011
2011-07-13 16:13:50,5830,1.5452e-06,3.78e-06,2011
2011-07-13 19:08:41,5870,1.906e-06,3.78e-06,2011
2011-07-13 19:08:41,5770,1.9401e-06,3.78e-06,2011
2011-07-13 21:46:03,5830,1.5452e-06,3.78e-06,2011
2011-07-13 21:46:03,6970,1.8507e-06,3.78e-06,2011
2011-07-14 01:22:21,5850,1.8195e-06,3.78e-06,2011
2011-07-14 01:22:21,5870,1.906e-06,3.78e-06,2011
2011-07-14 01:22:21,6990,1.9056e-06,3.78e-06,2011
2011-07-14 02:39:58,6870,1.7264e-06,3.78e-06,2011
2011-07-14 07:54:48,6950,1.9399e-06,3.78e-06,2011
2011-07-14 10:52:56,5830,1.5452e-06,3.78e-06,2011
2011-07-14 10:52:56,6950,1.9399e-06,3.78e-06,2011
2011-07-14 13:23:26,6950,1.9399e-06,3.78e-06,2011
2011-07-14 13:23:26,6970,1.8507e-06,3.78e-06,2011
2011-07-14 13:23:26,5870,1.906e-06,3.78e-06,2011
2011-07-15 07:05:52,5830,1.5452e-06,3.78e-06,2011
2011-07-15 09:24:53,5970,2.0053e-06,3.78e-06,2011
2011-07-16 03:07:46,5830,1.5452e-06,3.78e-06,2011
2011-07-16 23:34:35,6950,1.9399e-06,3.78e-06,2011
2011-07-16 23:34:35,6970,1.8507e-06,3.78e-06,2011
2011-07-16 23:34:35,5870,1.906e-06,3.78e-06,2011
2011-07-17 07:53:58,5870,1.906e-06,3.78e-06,2011
2011-07-17 07:53:58,5850,1.8195e-06,3.78e-06,2011
2011-07-17 12:43:16,6970,1.8507e-06,3.78e-06,2011
2011-07-18 04:40:28,6950,1.9399e-06,3.78e-06,2011
2011-07-18 04:40:28,6970,1.8507e-06,3.78e-06,2011
2011-07-18 04:40:28,5850,1.8195e-06,3.78e-06,2011
2011-07-18 04:40:28,6450,1.709e-06,3.78e-06,2011
2011-07-18 04:40:28,5870,1.906e-06,3.78e-06,2011
2011-07-18 13:47:56,5870,1.906e-06,3.78e-06,2011
2011-07-18 22:53:14,5970,2.0053e-06,3.78e-06,2011
2011-07-19 06:43:33,5770,1.9401e-06,3.78e-06,2011
2011-07-19 09:12:14,5870,1.906e-06,3.78e-06,2011
