date,max possible,archaicity,max found,regression
2013-08-29,0.0004,2.33e-05,,0.0003638484807377413
2013-08-30,0.0004,2.33e-05,,0.00036527551286160017
2013-08-31,0.0004,2.33e-05,,0.00036670254498545905
2013-09-01,0.0004,2.33e-05,,0.00036812957710931793
2013-09-02,0.0004,2.33e-05,,0.00036955660923317687
2013-09-03,0.0004,2.33e-05,,0.0003709836413570031
2013-09-04,0.0004,2.33e-05,,0.00037241067348086206
2013-09-05,0.0004,2.33e-05,,0.00037383770560472094
2013-09-06,0.0004,2.33e-05,,0.0003752647377285798
2013-09-07,0.0004,2.33e-05,,0.0003766917698524387
2013-09-08,0.0004,2.33e-05,,0.00037811880197629764
2013-09-09,0.0004,2.33e-05,,0.0003795458341001565
2013-09-10,0.0004,2.33e-05,,0.0003809728662239828
2013-09-11,0.0004,2.33e-05,,0.0003823998983478417
2013-09-12,0.0004,2.33e-05,,0.0003838269304717006
2013-09-13,0.0004,2.33e-05,,0.0003852539625955595
2013-09-14,0.0004,2.33e-05,,0.00038668099471941836
2013-09-15,0.0004,2.33e-05,0.0004,0.0003881080268432773
2013-09-16,0.0004,2.33e-05,,0.0003895350589671362
2013-09-17,0.0004,2.33e-05,,0.0003909620910909625
2013-09-18,0.0004,2.33e-05,,0.00039238912321482136
2013-09-19,0.000909,2.33e-05,0.000909,0.00039381615533868024
2013-09-20,0.000909,2.33e-05,,0.00039524318746253913
2013-09-21,0.000909,2.33e-05,,0.000396670219586398
2013-09-22,0.000909,2.33e-05,0.000909,0.00039809725171025695
2013-09-23,0.000909,2.33e-05,0.000909,0.00039952428383411583
2013-09-24,0.000909,2.33e-05,0.000909,0.00040095131595794213
2013-09-25,0.000909,2.33e-05,,0.000402378348081801
2013-09-26,0.000909,2.33e-05,0.0004,0.0004038053802056599
2013-09-27,0.000909,2.33e-05,,0.0004052324123295188
2013-09-28,0.000909,2.33e-05,,0.00040665944445337766
2013-09-29,0.000909,2.33e-05,,0.0004080864765772366
2013-09-30,0.000909,2.33e-05,0.0004,0.0004095135087010955
2013-10-01,0.000909,2.33e-05,0.0004,0.0004109405408249218
2013-10-02,0.000909,2.33e-05,,0.00041236757294878067
2013-10-03,0.000909,2.33e-05,,0.00041379460507263955
2013-10-04,0.000909,2.33e-05,,0.00041522163719649843
2013-10-05,0.000909,2.33e-05,,0.00041664866932035737
2013-10-06,0.000909,2.33e-05,,0.00041807570144421625
2013-10-07,0.000909,2.33e-05,0.0004,0.00041950273356807514
2013-10-08,0.000909,2.33e-05,,0.00042092976569190144
2013-10-09,0.000909,2.33e-05,0.000909,0.0004223567978157603
2013-10-10,0.000909,2.33e-05,0.000909,0.0004237838299396192
2013-10-11,0.000909,2.33e-05,,0.0004252108620634781
2013-10-12,0.000909,2.33e-05,,0.000426637894187337
2013-10-13,0.000909,2.33e-05,,0.0004280649263111959
2013-10-14,0.000909,2.33e-05,,0.0004294919584350548
2013-10-15,0.000909,2.33e-05,,0.0004309189905588811
2013-10-16,0.000909,2.33e-05,,0.00043234602268274
2013-10-17,0.000909,2.33e-05,0.0004,0.00043377305480659886
2013-10-18,0.000909,2.33e-05,,0.00043520008693045774
2013-10-19,0.000909,2.33e-05,0.0004,0.0004366271190543167
2013-10-20,0.000909,2.33e-05,,0.00043805415117817556
2013-10-21,0.000909,2.33e-05,,0.00043948118330203444
2013-10-22,0.000909,2.33e-05,,0.00044090821542586074
2013-10-23,0.000909,2.33e-05,,0.00044233524754971963
2013-10-24,0.000909,2.33e-05,0.0004,0.0004437622796735785
2013-10-25,0.000909,2.33e-05,,0.0004451893117974374
2013-10-26,0.000909,2.33e-05,,0.00044661634392129633
2013-10-27,0.000909,2.33e-05,,0.0004480433760451552
2013-10-28,0.000909,2.33e-05,,0.0004494704081690141
2013-10-29,0.000909,2.33e-05,,0.0004508974402928404
2013-10-30,0.000909,2.33e-05,,0.0004523244724166993
2013-10-31,0.000909,2.33e-05,,0.00045375150454055816
2013-11-01,0.000909,2.33e-05,,0.00045517853666441705
2013-11-02,0.000909,2.33e-05,,0.000456605568788276
2013-11-03,0.000909,2.33e-05,0.0004,0.00045803260091213487
2013-11-04,0.000909,2.33e-05,,0.00045945963303599375
2013-11-05,0.000909,2.33e-05,,0.00046088666515982005
2013-11-06,0.000909,2.33e-05,,0.00046231369728367893
2013-11-07,0.000909,2.33e-05,,0.0004637407294075378
2013-11-08,0.000909,2.33e-05,,0.00046516776153139675
2013-11-09,0.000909,2.33e-05,,0.00046659479365525564
2013-11-10,0.000909,2.33e-05,,0.0004680218257791145
2013-11-11,0.000909,2.33e-05,,0.0004694488579029734
2013-11-12,0.000909,2.33e-05,,0.0004708758900267997
2013-11-13,0.000909,2.33e-05,,0.0004723029221506586
2013-11-14,0.000909,2.33e-05,,0.00047372995427451747
2013-11-15,0.000909,2.33e-05,0.0004,0.0004751569863983764
2013-11-16,0.000909,2.33e-05,,0.0004765840185222353
2013-11-17,0.000909,2.33e-05,,0.00047801105064609417
2013-11-18,0.000909,2.33e-05,,0.00047943808276995305
2013-11-19,0.000909,2.33e-05,,0.00048086511489377936
2013-11-20,0.000909,2.33e-05,,0.00048229214701763824
2013-11-21,0.000909,2.33e-05,,0.0004837191791414971
2013-11-22,0.000909,2.33e-05,,0.00048514621126535606
2013-11-23,0.000909,2.33e-05,,0.00048657324338921494
2013-11-24,0.000909,2.33e-05,,0.0004880002755130738
2013-11-25,0.000909,2.33e-05,,0.0004894273076369327
2013-11-26,0.000909,2.33e-05,,0.000490854339760759
2013-11-27,0.001429,2.33e-05,,0.0004922813718846178
2013-11-28,0.001429,2.33e-05,,0.0004937084040084768
2013-11-29,0.001429,2.33e-05,,0.0004951354361323357
2013-11-30,0.001429,2.33e-05,,0.0004965624682561945
2013-12-01,0.001429,2.33e-05,,0.0004979895003800535
2013-12-02,0.001429,2.33e-05,,0.0004994165325039123
2013-12-03,0.001429,2.33e-05,0.0005,0.0005008435646277386
2013-12-04,0.001429,2.33e-05,,0.0005022705967515975
2013-12-05,0.001429,2.33e-05,0.001429,0.0005036976288754565
2013-12-06,0.001429,2.33e-05,0.0004,0.0005051246609993153
2013-12-07,0.001429,2.33e-05,,0.0005065516931231742
2013-12-08,0.001429,2.33e-05,,0.0005079787252470331
2013-12-09,0.001429,2.33e-05,0.001429,0.000509405757370892
2013-12-10,0.001429,2.33e-05,0.0005,0.0005108327894947183
2013-12-11,0.001429,2.33e-05,,0.0005122598216185771
2013-12-12,0.001429,2.33e-05,,0.0005136868537424361
2013-12-13,0.001429,2.33e-05,0.001429,0.0005151138858662949
2013-12-14,0.001429,2.33e-05,,0.0005165409179901538
2013-12-15,0.001429,2.33e-05,,0.0005179679501140128
2013-12-16,0.001429,2.33e-05,,0.0005193949822378716
2013-12-17,0.001429,2.33e-05,,0.0005208220143616979
2013-12-18,0.001429,2.33e-05,,0.0005222490464855569
2013-12-19,0.001429,2.33e-05,0.001429,0.0005236760786094157
2013-12-20,0.001429,2.33e-05,,0.0005251031107332746
2013-12-21,0.001429,2.33e-05,0.001429,0.0005265301428571429
2013-12-22,0.001429,2.33e-05,,0.0005273271680526552
2013-12-23,0.001429,2.33e-05,,0.0005281241932481675
2013-12-24,0.001429,2.33e-05,,0.0005289212184436798
2013-12-25,0.001429,2.33e-05,,0.0005297182436392241
2013-12-26,0.001429,2.33e-05,,0.0005305152688347365
2013-12-27,0.001429,2.33e-05,,0.0005313122940302489
2013-12-28,0.001429,2.33e-05,,0.0005321093192257932
2013-12-29,0.001429,2.33e-05,,0.0005329063444213055
2013-12-30,0.001429,2.33e-05,,0.0005337033696168178
2013-12-31,0.001429,2.33e-05,,0.0005345003948123621
2014-01-01,0.001429,2.33e-05,,0.0005352974200078744
2014-01-02,0.001429,2.33e-05,,0.0005360944452033867
2014-01-03,0.001429,2.33e-05,,0.000536891470398931
2014-01-04,0.001429,2.33e-05,,0.0005376884955944433
2014-01-05,0.001429,2.33e-05,0.001429,0.0005384855207899557
2014-01-06,0.001429,2.33e-05,,0.0005392825459855
2014-01-07,0.001429,2.33e-05,0.001429,0.0005400795711810124
2014-01-08,0.001429,2.33e-05,,0.0005408765963765247
2014-01-09,0.001429,2.33e-05,,0.000541673621572069
2014-01-10,0.001429,2.33e-05,,0.0005424706467675813
2014-01-11,0.001429,2.33e-05,,0.0005432676719630936
2014-01-12,0.001429,2.33e-05,,0.0005440646971586379
2014-01-13,0.001429,2.33e-05,,0.0005448617223541502
2014-01-14,0.001429,2.33e-05,,0.0005456587475496626
