date,row_index,hardware_name,TH/J,max_efficiency,year
2016-01-27,862,Antminer S7,0.004,0.00714,2016
2016-02-26,869,Antminer S2,0.0009,0.00714,2016
2016-02-26,870,Antminer S1,0.0005,0.00714,2016
2016-03-14,872,ANTMINER S5+,0.002247,0.00714,2016
2016-04-24,874,S5,0.001957,0.00714,2016
2016-04-29,877,Antminer S7,0.004,0.00714,2016
2016-06-18,879,Antminer S7,0.004,0.0102,2016
2016-07-02,880,Antminer S7,0.004,0.0102,2016
2016-07-02,881,Antminer S5,0.001957,0.0102,2016
2016-07-20,882,S7 miner,0.004,0.0102,2016
2016-10-17,887,Antminer S5,0.001957,0.0102,2016
2016-10-19,889,AntMiner U3,0.001,0.0102,2016
2016-10-25,890,Antminer s9,0.010182,0.0102,2016
2016-11-11,893,Antminer s5,0.001957,0.0102,2016
2016-12-10,904,ANTMINER S2,0.0009,0.0102,2016
2016-12-10,905,Antminer S3,0.0013,0.0102,2016
2016-12-10,906,Antminer S1,0.0005,0.0102,2016
2016-12-16,908,S9,0.010182,0.0102,2016
2016-12-16,909,S7,0.004,0.0102,2016
2016-12-29,912,Antminer S9,0.010182,0.0102,2016
2016-12-30,913,AntMiner S7,0.004,0.0102,2016
2017-01-08,916,S1,0.0005,0.0102,2017
2017-01-08,917,s7,0.004,0.0102,2017
2017-01-08,918,s9,0.010182,0.0102,2017
2017-01-27,923,bitcoin miner s5,0.001957,0.0102,2017
2017-01-29,927,AvalonMiner 721,0.006,0.0102,2017
2017-03-11,940,Antminer S7,0.004,0.0102,2017
2017-03-21,942,S9,0.010182,0.0102,2017
2017-05-09,948,s9s,0.010182,0.0102,2017
2017-07-05,957,Antminer S3+,0.001282,0.0102,2017
2017-07-05,958,Spondoolies SP20,0.001545,0.0102,2017
2017-07-05,959,Antminer S5,0.001957,0.0102,2017
2017-07-05,961,Antminer S9,0.010182,0.0102,2017
2017-07-05,962,Antminer S5,0.001957,0.0102,2017
2017-07-05,963,Antminer S7,0.004,0.0102,2017
2017-07-05,964,Antminer S4,0.001429,0.0102,2017
2017-07-21,969,Black Arrow,0.001,0.0102,2017
2017-07-21,975,Canaan Avalon 741,0.00635,0.0102,2017
2017-08-01,978,S7,0.004,0.0102,2017
2017-08-01,979,S3+,0.001282,0.0102,2017
2017-08-25,981,Antminer S7,0.004,0.0102,2017
2017-09-02,986,S9,0.010182,0.0102,2017
2017-09-02,987,S9,0.010182,0.0102,2017
2017-09-21,989,S9,0.010182,0.0102,2017
2017-09-27,990,AntMiner S2,0.0009,0.0102,2017
2017-10-22,993,S9,0.010182,0.0102,2017
2017-10-25,994,S9,0.010182,0.0102,2017
2017-10-25,995,Avalon 741,0.00635,0.0102,2017
2018-01-01,4,antminers s9,0.010204081632653,0.01021,2018
2018-01-01,5,antminers s9,0.010204081632653,0.01021,2018
2018-01-02,13,S7s,0.0038737446197991,0.01021,2018
2018-01-02,17,Avalon 741,0.0063478260869565,0.01021,2018
2018-01-02,20,741s,0.0063478260869565,0.01021,2018
2018-01-03,37,S5,0.001957627118644,0.01021,2018
2018-01-03,39,S5 boards,0.001957627118644,0.01021,2018
2018-01-03,44,s9,0.010204081632653,0.01021,2018
2018-01-04,45,Antminer S9,0.010204081632653,0.01021,2018
2018-01-04,47,ANT Miners S9,0.010204081632653,0.01021,2018
2018-01-04,50,s7,0.0038737446197991,0.01021,2018
2018-01-05,51,antminer S9,0.010204081632653,0.01021,2018
2018-01-05,54,Antminer S9,0.010204081632653,0.01021,2018
2018-01-05,55,Antminer S9,0.010204081632653,0.01021,2018
2018-01-06,59,Antminer S9,0.010204081632653,0.01021,2018
2018-01-07,61,S9 antminer,0.010204081632653,0.01021,2018
2018-01-07,62,Antminer S5,0.001957627118644,0.01021,2018
2018-01-07,67,Antminer S9,0.010204081632653,0.01021,2018
2018-01-07,71,S9 miner,0.010204081632653,0.01021,2018
2018-01-08,82,Antminer S9,0.010204081632653,0.01021,2018
2018-01-09,83,S7,0.0038737446197991,0.01021,2018
2018-01-09,84,S7,0.0038737446197991,0.01021,2018
2018-01-09,85,S7,0.0038737446197991,0.01021,2018
2018-01-09,87,Antminer S7,0.0038737446197991,0.01021,2018
2018-01-09,89,S7's,0.0038737446197991,0.01021,2018
2018-01-09,90,S9,0.010204081632653,0.01021,2018
2018-01-09,92,S9,0.010204081632653,0.01021,2018
2018-01-09,94,Avalon 741,0.0063478260869565,0.01021,2018
2018-01-10,97,Antminer S9,0.010204081632653,0.01021,2018
2018-01-10,106,S9,0.010204081632653,0.01021,2018
2018-01-10,110,S9,0.010204081632653,0.01021,2018
2018-01-10,113,Antminer S9,0.010204081632653,0.01021,2018
2018-01-17,234,antminer S9,0.010204081632653,0.01021,2018
2018-01-17,235,s7 miner,0.0036581593194122,0.01021,2018
2018-01-17,241,Antminer S9,0.010204081632653,0.01021,2018
2018-01-17,243,S9,0.010204081632653,0.01021,2018
2018-01-17,245,S9,0.010204081632653,0.01021,2018
2018-01-17,250,S5,0.001957627118644,0.01021,2018
2018-01-18,255,AntMiner S9,0.010204081632653,0.01021,2018
2018-01-18,263,S7-LN,0.0038737446197991,0.01021,2018
2018-01-18,265,S7,0.0036581593194122,0.01021,2018
2018-01-19,275,S3,0.0013060109289617,0.01021,2018
2018-01-19,279,S9,0.010204081632653,0.01021,2018
2018-01-19,280,Antminer s7,0.0036581593194122,0.01021,2018
2018-01-19,284,s7,0.0036581593194122,0.01021,2018
2018-01-19,285,AntMiner S5,0.001957627118644,0.01021,2018
2018-01-19,288,Antminer S9,0.010204081632653,0.01021,2018
2018-01-20,294,Avalon 741,0.0063478260869565,0.01021,2018
2018-01-20,299,Antminer s9,0.010204081632653,0.01021,2018
2018-01-20,302,Antminer S9,0.010204081632653,0.01021,2018
2018-01-20,306,Antminer S9,0.010204081632653,0.01021,2018
2018-01-21,315,Antminer S3,0.0013060109289617,0.01021,2018
2018-01-22,320,S9,0.010204081632653,0.01021,2018
2018-01-22,321,S9,0.010204081632653,0.01021,2018
2018-01-22,339,S9,0.010204081632653,0.01021,2018
2018-01-23,347,Antminer S9,0.010204081632653,0.01021,2018
2018-01-23,356,Avalon 741,0.0063478260869565,0.01021,2018
2018-01-23,359,S7,0.0036581593194122,0.01021,2018
2018-01-23,362,S9,0.010204081632653,0.01021,2018
2018-01-23,366,Antminer S7,0.0036581593194122,0.01021,2018
2018-01-23,370,Ebit E9+,0.0073324022346368,0.01021,2018
2018-01-23,371,Avalon 741,0.0063478260869565,0.01021,2018
2018-01-24,373,Ebit e9+,0.0073324022346368,0.01021,2018
2018-01-24,374,Bitmain Antminer S7,0.0036581593194122,0.01021,2018
2018-01-24,380,Antminer S7,0.0036581593194122,0.01021,2018
2018-01-24,381,S9,0.010204081632653,0.01021,2018
2018-01-25,389,S9,0.010204081632653,0.01021,2018
2018-01-26,396,S7,0.0036581593194122,0.01021,2018
2018-01-26,397,Antminer S9,0.010204081632653,0.01021,2018
2018-01-26,399,Antminer S3,0.0013060109289617,0.01021,2018
2018-01-26,402,Antminer s5,0.001957627118644,0.01021,2018
2018-01-27,414,Antminer S9,0.010204081632653,0.01021,2018
2018-01-27,416,S9,0.010204081632653,0.01021,2018
2018-01-27,425,Antminer S9,0.010204081632653,0.01021,2018
2018-01-28,427,S9 miner,0.010204081632653,0.01021,2018
2018-01-28,433,741,0.0063478260869565,0.01021,2018
2018-01-28,435,s9,0.010204081632653,0.01021,2018
2018-01-28,439,Antminer S9,0.010204081632653,0.01021,2018
2018-01-28,440,Bitmain Antminer S3,0.0013060109289617,0.01021,2018
2018-01-29,441,S9 Antminer,0.010204081632653,0.01021,2018
2018-01-29,443,S9,0.010204081632653,0.01021,2018
2018-01-30,444,Avalon 741,0.0063478260869565,0.01021,2018
2018-01-30,447,S9 Antminer,0.010204081632653,0.01021,2018
2018-01-30,452,s9,0.010204081632653,0.01021,2018
2018-01-30,458,Antminer S9,0.010204081632653,0.01021,2018
2018-01-30,459,Antminer S9,0.010204081632653,0.01021,2018
2018-01-30,462,Antminer S9,0.010204081632653,0.01021,2018
2018-01-31,466,whatsminer m3,0.006,0.01021,2018
2018-01-31,468,Antminer S9,0.010204081632653,0.01021,2018
2018-01-31,472,Antminer S9,0.010204081632653,0.01021,2018
2018-02-01,475,Antminer S9,0.010204081632653,0.01021,2018
2018-02-02,489,Antminer S9,0.010204081632653,0.01021,2018
2018-02-02,495,Antminer S7,0.0036581593194122,0.01021,2018
2018-02-02,500,Antminer S9,0.010204081632653,0.01021,2018
2018-02-03,501,Antminer S9,0.010204081632653,0.01021,2018
2018-02-03,504,Avalon 741,0.0063478260869565,0.01021,2018
2018-02-03,506,Antminer S9,0.010204081632653,0.01021,2018
2018-02-05,509,Antminer S9,0.010204081632653,0.01021,2018
2018-02-05,514,Antminer S9,0.010204081632653,0.01021,2018
2018-02-05,516,Antminer S9,0.010204081632653,0.01021,2018
2018-02-05,517,Antminer S9,0.010204081632653,0.01021,2018
2018-02-05,522,Antminer S9,0.010204081632653,0.01021,2018
2018-02-06,525,Antminer S7,0.0036581593194122,0.01021,2018
2018-02-06,526,Antminer S9,0.010204081632653,0.01021,2018
2018-02-06,531,Antminer S9,0.010204081632653,0.01021,2018
2018-02-06,533,Avalon 741,0.0063478260869565,0.01021,2018
2018-02-06,535,Avalon 741 Miner,0.0063478260869565,0.01021,2018
2018-02-06,536,Antminer S7,0.0036581593194122,0.01021,2018
2018-02-07,542,Antminer S9,0.010204081632653,0.01021,2018
2018-02-07,544,Antminer S9,0.010204081632653,0.01021,2018
