row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
400,KnC Jupiter,54,78,2013-11-15,500000,400
401,ASICMiner 49 port hubs,-1,152.428,2013-11-16,,
402,Blade backplanes,-1,108.877,2013-11-16,,
403,batch #32/31,-1,283.082,2013-11-16,,
404,Plesk,-1,233.73,2013-11-17,,
405,14 USB,-1,16.695,2013-11-17,,
406,Blade miners,-1,524.7,2013-11-17,,
407,ASICMINER ERUPTER USB MINER,-1,662.31,2013-11-18,,
408,KnCMiner Neptune,55,229.215,2013-11-26,300000,1429
409,BFL 4 GH/s Chips,-1,55.012,2013-11-26,,
410,R19X KnC Neptune,-1,225100,2013-11-26,,
411,CoinTerra ASIC,40,,2013-11-30,160000,unknown
412,BFL SC single,31,,2013-11-30,10000,unknown
413,KnC,-1,,2013-11-30,,
414,ASIC USB miner,-1,50,2013-12-02,,
415,AsicMiner Blade and Cube Miners,-1,,2013-12-03,,
416,AntMiner S1,0,,2013-12-03,180000,500
417,Block Erupters,-1,,2013-12-04,,
418,KnCMiner Neptune,55,160,2013-12-05,300000,1429
419,KnCMiner Neptune,55,135,2013-12-05,300000,1429
420,2X NEPTUNE #1,-1,40.583,2013-12-06,,
421,KNC Jupiter,54,,2013-12-06,500000,400
422,BFL singles,-1,,2013-12-08,,
423,Bitfury 8board rig,-1,,2013-12-08,,
424,KnC Neptune,55,,2013-12-09,300000,1429
425,AntMiner S1,0,8330.0,2013-12-10,180000,500
426,Cubes,-1,879.8,2013-12-11,,
427,2 KnC Jupiters,-1,125,2013-12-12,,
428,Neptune,-1,160,2013-12-13,,
429,KnC Neptune,55,44.258,2013-12-13,300000,1429
430,KNC Neptune,55,0.55,2013-12-13,300000,1429
431,Black Arrow Prospero X-3,37,130,2013-12-13,200000,1000
432,Terraminer IV,-1,344.8,2013-12-15,,
433,BitMine CoinCraft,-1,5.392,2013-12-17,,
434,KNC Neptune,55,0.55,2013-12-19,300000,1429
435,BitMine CoinCraft,-1,4.872,2013-12-20,,
436,BitMine CoinCraft,-1,4.76,2013-12-21,,
437,KNC Neptune,55,0.6,2013-12-21,300000,1429
438,Cointerra,-1,,2013-12-22,,
439,Antminer U1 USB Erupter,-1,,2013-12-27,,
440,Antminer U1 USB Erupter,-1,47.783,2013-12-27,,
441,Bitfury USB,-1,,2013-12-27,,
442,Avalon 200Gh/s - 1.2Th/s,-1,,2013-12-28,,
443,CUBE,-1,618.8,2013-12-29,,
444,Bitfury Bare Chips,-1,50,2014-01-05,,
445,KnCMiner Neptune,55,,2014-01-05,300000,1429
446,U1 antminer USB sticks,-1,0.07,2014-01-05,,
447,Sapphire 7950s,115,,2014-01-07,212.94,1.9401
448,KNC Neptune,55,10000,2014-01-07,300000,1429
449,Corsair CX750 PSUs,-1,,2014-01-07,,
450,Black Arrow Prospero x3,37,6000,2014-01-07,200000,1000
451,Avalon Mini Rig,28,,2014-01-07,500000,185
452,AVALON GEN2,-1,2017.085,2014-01-08,,
453,ANTMINERs,-1,288.155,2014-01-08,,
454,BTMine v1 Miner 200GH/s,-1,1811.26,2014-01-08,,
455,RED FURY 2.5 GIGASH,-1,,2014-01-09,,
456,KNC Neptunes,-1,426.98,2014-01-10,,
457,Netpune,-1,,2014-01-11,,
458,ANTs,-1,,2014-01-11,,
459,Live Unicorn 1HP bitcoin miner,-1,,2014-01-13,,
460,50FT Cat6 Network Cable,-1,,2014-01-13,,
461,TL-SG1005D 5-Port Gigabit Switch,-1,,2014-01-13,,
462,Rosewill RHB-500 usb hub,-1,,2014-01-13,,
463,industrial usb hubs,-1,,2014-01-13,,
